Dataset	ADMM_InputGroup_bestK	ADMM_InputGroup_best2K	ADMM_InputGroup_TrainAUC	ADMM_InputGroup_TrainAUPRC	ADMM_InputGroup_AUC	ADMM_InputGroup_AUPRC
xor_2_1000	1.0	1.0	0.9979122388839277	0.997744031417175	0.9952868698660953	0.9949177518846118
xor_4_1000	1.0	1.0	0.9885142470413609	0.9885380278556686	0.9865121517362723	0.9876555820224512
xor_8_1000	1.0	1.0	0.9951652238228457	0.9953132816101107	0.9959965158474043	0.996159830500801
xor_16_1000	1.0	1.0	0.9951810654906672	0.9957389196018606	0.9942324727924956	0.9949464289219323
xor_32_1000	1.0	1.0	0.9966388550796398	0.9963266414804496	0.9955520221635586	0.9952839659494006
xor_64_1000	1.0	1.0	0.9979821350918442	0.9978780335182847	0.9979199408284248	0.9976643705397669
xor_128_1000	1.0	1.0	0.9938426665998278	0.9936430654913111	0.9949727477503675	0.9946065070944928
xor_256_1000	1.0	1.0	0.9904747730271991	0.9908979370498984	0.9549691632878803	0.9573875000580085
xor_512_1000	1.0	1.0	0.9972496244028437	0.9973794058503129	0.849365820145635	0.8629094927491644
xor_1024_1000	0.5	0.5	0.9947108654088548	0.9948726330073553	0.6714864941522999	0.6806119947031678
xor_2048_1000	0.0	0.0	0.94750890953573	0.9493766773405476	0.508981801284461	0.5214474160813526
