Dataset	ADMM_InputGroup_bestK	ADMM_InputGroup_best2K	ADMM_InputGroup_TrainAUC	ADMM_InputGroup_TrainAUPRC	ADMM_InputGroup_AUC	ADMM_InputGroup_AUPRC
ring+xor+sum_6_1000	1.0	1.0	0.7733792171217715	0.8137279334146154	0.767985230819563	0.810439282084638
ring+xor+sum_8_1000	0.8333333333333334	1.0	0.7431721232579146	0.7906698440626618	0.7434533966104917	0.7968532476233149
ring+xor+sum_16_1000	0.75	0.8888888888888888	0.7547413420471031	0.8010387528966484	0.7386170108737568	0.7893046255991637
ring+xor+sum_32_1000	0.6666666666666666	0.8055555555555557	0.7657910815978209	0.787667649079574	0.7629941269596445	0.7918198343889444
ring+xor+sum_64_1000	0.7222222222222222	0.7222222222222222	0.7727289032613202	0.8081848596825377	0.7640738106022509	0.8056815152692298
ring+xor+sum_128_1000	0.6666666666666666	0.6944444444444443	0.7950478535634149	0.8385386799135879	0.7798712635560113	0.8265024832973183
ring+xor+sum_256_1000	0.6666666666666666	0.6666666666666666	0.9686854573240016	0.9700694198737497	0.6868906661350023	0.695756007893413
ring+xor+sum_512_1000	0.47222222222222215	0.47222222222222215	0.9918792554734169	0.9916891256802821	0.5656297059173728	0.5631164533491652
ring+xor+sum_1024_1000	0.4166666666666667	0.47222222222222215	0.9839862913101317	0.9845542119768483	0.6530139739123911	0.6485133763234661
ring+xor+sum_2048_1000	0.3333333333333333	0.3611111111111111	0.9536062857225852	0.9506818192719438	0.5809442122970347	0.5757837766119358
