Dataset	ADMM_InputGroup_bestK	ADMM_InputGroup_best2K	ADMM_InputGroup_TrainAUC	ADMM_InputGroup_TrainAUPRC	ADMM_InputGroup_AUC	ADMM_InputGroup_AUPRC
ring+xor_4_1000	1.0	1.0	0.7742988849737711	0.842149352880324	0.774319834949292	0.8410974568736432
ring+xor_8_1000	0.625	1.0	0.7556522637624448	0.8281702672252226	0.7421877816520807	0.819857727424639
ring+xor_16_1000	0.6666666666666666	0.8333333333333334	0.773880694205797	0.8488589985294294	0.7698407766600255	0.8482682628962324
ring+xor_32_1000	0.5416666666666666	0.625	0.7360234878074329	0.819324401058198	0.7225689976364981	0.811796264864202
ring+xor_64_1000	0.5833333333333334	0.625	0.7786856312667377	0.8466105372394604	0.7568779525139696	0.8385486150162249
ring+xor_128_1000	0.5416666666666666	0.5833333333333334	0.7838953671069673	0.8533146906774401	0.795468565999924	0.8573299725116205
ring+xor_256_1000	0.6666666666666666	0.6666666666666666	0.9584022465172891	0.9613135883791762	0.6155346753994709	0.6443167943418183
ring+xor_512_1000	0.20833333333333334	0.25	0.9961933946182707	0.9965845279451805	0.5302556590439411	0.551936132464175
ring+xor_1024_1000	0.25	0.25	0.9903162316153168	0.9915152433357077	0.5436249260506393	0.5731372701507684
ring+xor_2048_1000	0.041666666666666664	0.041666666666666664	0.9394994573842014	0.9388129903226451	0.44859626750976916	0.47263094255340593
