method,dataset,n,best_k,best_2k
Deconvolution,xor,8,1.0,1.0
Deconvolution,xor,32,0.9166666666666666,1.0
Deconvolution,xor,128,0.0,0.0
Deconvolution,ring,8,0.3333333333333333,0.6666666666666666
Deconvolution,ring,32,0.08333333333333333,0.16666666666666666
Deconvolution,ring,128,0.0,0.0
Deconvolution,ring+xor,8,0.5833333333333334,1.0
Deconvolution,ring+xor,32,0.375,0.5
Deconvolution,ring+xor,128,0.125,0.125
Deconvolution,ring+xor+sum,8,0.7777777777777778,1.0
Deconvolution,ring+xor+sum,32,0.611111111111111,0.6666666666666666
Deconvolution,ring+xor+sum,128,0.16666666666666666,0.2222222222222222
DeepLift,xor,8,1.0,1.0
DeepLift,xor,32,0.8333333333333334,0.9166666666666666
DeepLift,xor,128,0.0,0.0
DeepLift,ring,8,0.3333333333333333,0.6666666666666666
DeepLift,ring,32,0.08333333333333333,0.08333333333333333
DeepLift,ring,128,0.0,0.0
DeepLift,ring+xor,8,0.5833333333333334,1.0
DeepLift,ring+xor,32,0.375,0.4166666666666667
DeepLift,ring+xor,128,0.125,0.125
DeepLift,ring+xor+sum,8,0.8333333333333334,1.0
DeepLift,ring+xor+sum,32,0.5833333333333334,0.6944444444444443
DeepLift,ring+xor+sum,128,0.16666666666666666,0.2222222222222222
FeatureAblation,xor,8,1.0,1.0
FeatureAblation,xor,32,0.9166666666666666,1.0
FeatureAblation,xor,128,0.0,0.0
FeatureAblation,ring,8,0.25,0.6666666666666666
FeatureAblation,ring,32,0.08333333333333333,0.08333333333333333
FeatureAblation,ring,128,0.0,0.0
FeatureAblation,ring+xor,8,0.5833333333333334,1.0
FeatureAblation,ring+xor,32,0.375,0.4583333333333333
FeatureAblation,ring+xor,128,0.16666666666666666,0.16666666666666666
FeatureAblation,ring+xor+sum,8,0.8333333333333334,1.0
FeatureAblation,ring+xor+sum,32,0.611111111111111,0.6666666666666666
FeatureAblation,ring+xor+sum,128,0.16666666666666666,0.2222222222222222
FeaturePermutation,xor,8,1.0,1.0
FeaturePermutation,xor,32,0.9166666666666666,1.0
FeaturePermutation,xor,128,0.0,0.0
FeaturePermutation,ring,8,0.25,0.6666666666666666
FeaturePermutation,ring,32,0.08333333333333333,0.08333333333333333
FeaturePermutation,ring,128,0.0,0.0
FeaturePermutation,ring+xor,8,0.5833333333333334,1.0
FeaturePermutation,ring+xor,32,0.3333333333333333,0.4166666666666667
FeaturePermutation,ring+xor,128,0.125,0.16666666666666666
FeaturePermutation,ring+xor+sum,8,0.8055555555555555,1.0
FeaturePermutation,ring+xor+sum,32,0.611111111111111,0.6944444444444445
FeaturePermutation,ring+xor+sum,128,0.16666666666666666,0.2222222222222222
GuidedBackprop,xor,8,1.0,1.0
GuidedBackprop,xor,32,1.0,1.0
GuidedBackprop,xor,128,0.0,0.0
GuidedBackprop,ring,8,0.3333333333333333,0.6666666666666666
GuidedBackprop,ring,32,0.08333333333333333,0.08333333333333333
GuidedBackprop,ring,128,0.0,0.0
GuidedBackprop,ring+xor,8,0.5833333333333334,1.0
GuidedBackprop,ring+xor,32,0.375,0.5
GuidedBackprop,ring+xor,128,0.125,0.125
GuidedBackprop,ring+xor+sum,8,0.8333333333333334,1.0
GuidedBackprop,ring+xor+sum,32,0.611111111111111,0.6666666666666666
GuidedBackprop,ring+xor+sum,128,0.16666666666666666,0.2222222222222222
IG_noMul,xor,8,1.0,1.0
IG_noMul,xor,32,0.8333333333333334,1.0
IG_noMul,xor,128,0.0,0.0
IG_noMul,ring,8,0.25,0.6666666666666666
IG_noMul,ring,32,0.08333333333333333,0.08333333333333333
IG_noMul,ring,128,0.0,0.0
IG_noMul,ring+xor,8,0.5833333333333334,1.0
IG_noMul,ring+xor,32,0.375,0.4166666666666667
IG_noMul,ring+xor,128,0.125,0.16666666666666666
IG_noMul,ring+xor+sum,8,0.8333333333333334,1.0
IG_noMul,ring+xor+sum,32,0.5833333333333334,0.7222222222222222
IG_noMul,ring+xor+sum,128,0.16666666666666666,0.2222222222222222
InputXGradient,xor,8,1.0,1.0
InputXGradient,xor,32,0.75,0.8333333333333334
InputXGradient,xor,128,0.0,0.0
InputXGradient,ring,8,0.3333333333333333,0.5833333333333334
InputXGradient,ring,32,0.08333333333333333,0.08333333333333333
InputXGradient,ring,128,0.0,0.0
InputXGradient,ring+xor,8,0.5833333333333334,1.0
InputXGradient,ring+xor,32,0.375,0.5
InputXGradient,ring+xor,128,0.125,0.16666666666666666
InputXGradient,ring+xor+sum,8,0.8055555555555555,1.0
InputXGradient,ring+xor+sum,32,0.611111111111111,0.6944444444444445
InputXGradient,ring+xor+sum,128,0.16666666666666666,0.2222222222222222
Saliency,xor,8,1.0,1.0
Saliency,xor,32,0.9166666666666666,1.0
Saliency,xor,128,0.0,0.0
Saliency,ring,8,0.3333333333333333,0.6666666666666666
Saliency,ring,32,0.08333333333333333,0.08333333333333333
Saliency,ring,128,0.0,0.0
Saliency,ring+xor,8,0.5833333333333334,1.0
Saliency,ring+xor,32,0.3333333333333333,0.4583333333333333
Saliency,ring+xor,128,0.125,0.125
Saliency,ring+xor+sum,8,0.8055555555555555,1.0
Saliency,ring+xor+sum,32,0.611111111111111,0.6666666666666666
Saliency,ring+xor+sum,128,0.16666666666666666,0.2222222222222222
ShapleyValueSampling,xor,8,1.0,1.0
ShapleyValueSampling,xor,32,0.6666666666666666,0.75
ShapleyValueSampling,xor,128,0.0,0.0
ShapleyValueSampling,ring,8,0.25,0.5833333333333334
ShapleyValueSampling,ring,32,0.08333333333333333,0.08333333333333333
ShapleyValueSampling,ring,128,0.0,0.0
ShapleyValueSampling,ring+xor,8,0.625,1.0
ShapleyValueSampling,ring+xor,32,0.375,0.4166666666666667
ShapleyValueSampling,ring+xor,128,0.125,0.125
ShapleyValueSampling,ring+xor+sum,8,0.8055555555555555,1.0
ShapleyValueSampling,ring+xor+sum,32,0.5555555555555555,0.7222222222222223
ShapleyValueSampling,ring+xor+sum,128,0.16666666666666666,0.2222222222222222
SmoothGrad,xor,8,1.0,1.0
SmoothGrad,xor,32,0.9166666666666666,1.0
SmoothGrad,xor,128,0.0,0.0
SmoothGrad,ring,8,0.3333333333333333,0.5833333333333334
SmoothGrad,ring,32,0.08333333333333333,0.08333333333333333
SmoothGrad,ring,128,0.0,0.0
SmoothGrad,ring+xor,8,0.5833333333333334,1.0
SmoothGrad,ring+xor,32,0.375,0.5
SmoothGrad,ring+xor,128,0.125,0.125
SmoothGrad,ring+xor+sum,8,0.8333333333333334,1.0
SmoothGrad,ring+xor+sum,32,0.611111111111111,0.6666666666666666
SmoothGrad,ring+xor+sum,128,0.16666666666666666,0.2222222222222222
admm_global,xor,8,,
admm_global,xor,32,,
admm_global,xor,128,,
admm_global,ring,8,,
admm_global,ring,32,,
admm_global,ring,128,,
admm_global,ring+xor,8,,
admm_global,ring+xor,32,,
