optimizer,score,lr,C,p,val_acc,sparsity,train_steps
Lasso_Adam_neuron,magnitude,0.001,0.05,,0.304,3.1035469239394394e-05,16
Lasso_Adam_neuron,magnitude,0.001,0.1,,0.343,3.118911017622308e-05,16
Lasso_Adam_neuron,magnitude,0.001,0.2,,0.201,3.1342751113051766e-05,16
Lasso_Adam_neuron,magnitude,0.0005,0.05,,0.129,3.2264596734023877e-05,16
Lasso_Adam_neuron,magnitude,0.0005,0.1,,0.131,3.149639204988045e-05,16
Lasso_Adam_neuron,magnitude,0.0005,0.2,,0.121,3.149639204988045e-05,16
Lasso_Adam_neuron,wanda,0.001,0.05,,0.327,5.239155945858163e-05,16
Lasso_Adam_neuron,wanda,0.001,0.1,,0.141,5.423525070052585e-05,16
Lasso_Adam_neuron,wanda,0.001,0.2,,0.321,5.5157096321497965e-05,16
Lasso_Adam_neuron,wanda,0.0005,0.05,,0.21,6.053452911050194e-05,16
Lasso_Adam_neuron,wanda,0.0005,0.1,,0.156,5.7615351310756923e-05,16
Lasso_Adam_neuron,wanda,0.0005,0.2,,0.142,6.330006597341828e-05,16
