optimizer,score,lr,C,p,val_acc,sparsity,train_steps
Lasso_Adam_neuron,magnitude,0.002,0.1,,0.085,0.9902868199736905,16
Lasso_Adam_neuron,magnitude,0.002,0.2,,0.085,0.9902050829952976,16
Lasso_Adam_neuron,magnitude,0.002,0.5,,0.085,0.9903026449901838,16
Lasso_Adam_neuron,magnitude,0.001,0.1,,0.085,0.990288202742122,16
Lasso_Adam_neuron,magnitude,0.001,0.2,,0.085,0.9902822107455856,16
Lasso_Adam_neuron,magnitude,0.001,0.5,,0.085,0.9902571672728826,16
Lasso_Adam_neuron,magnitude,0.0005,0.1,,0.085,0.990288202742122,16
Lasso_Adam_neuron,magnitude,0.0005,0.2,,0.085,0.9901975545893931,16
Lasso_Adam_neuron,magnitude,0.0005,0.5,,0.085,0.9902020101765611,16
Lasso_Adam_neuron,wanda,0.002,0.1,,0.085,0.9999705009401288,16
Lasso_Adam_neuron,wanda,0.002,0.2,,0.085,0.9999705009401288,16
Lasso_Adam_neuron,wanda,0.002,0.5,,0.085,0.9999705009401288,16
Lasso_Adam_neuron,wanda,0.001,0.1,,0.085,0.9999705009401288,16
Lasso_Adam_neuron,wanda,0.001,0.2,,0.085,0.9999705009401288,16
Lasso_Adam_neuron,wanda,0.001,0.5,,0.085,0.9999705009401288,16
Lasso_Adam_neuron,wanda,0.0005,0.1,,0.085,0.9999705009401288,16
Lasso_Adam_neuron,wanda,0.0005,0.2,,0.085,0.9999705009401288,16
Lasso_Adam_neuron,wanda,0.0005,0.5,,0.085,0.9999705009401288,16
